pmid	doi	year	title	Hugo_Symbol
35038193	10.1111/his.14617	2022	Incidence, clinicopathological features and genetics of in-situ follicular neoplasia: a comprehensive screening study in a Japanese cohort.	BCL7A
33306126	10.1093/jmcb/mjaa065	2021	BCL7C suppresses ovarian cancer growth by inactivating mutant p53.	BCL7A
33777778	10.3389/fonc.2021.628807	2021	Mutational Profile and Clonal Evolution of Relapsed/Refractory Diffuse Large B-Cell Lymphoma.	BCL7A
32012328	10.1002/hon.2718	2020	High throughput sequencing reveals high specificity of TNFAIP3 mutations in ocular adnexal marginal zone B-cell lymphomas.	BCL7A
32576963	10.1038/s41375-020-0919-5	2020	Frequent mutations in the amino-terminal domain of BCL7A impair its tumor suppressor role in DLBCL.	BCL7A
31558468	10.1182/blood.2019001880	2019	The whole-genome landscape of Burkitt lymphoma subtypes.	BCL7A
28465297	10.1158/1541-7786.MCR-16-0305	2017	Comprehensive Transcriptome and Mutational Profiling of Endemic Burkitt Lymphoma Reveals EBV Type-Specific Differences.	BCL7A
25626372	10.1007/s12275-015-4672-9	2015	Genipin as a novel chemical activator of EBV lytic cycle.	BCL7A
22856870	10.3109/10428194.2012.717695	2013	Loss of BCL7A expression correlates with poor disease prognosis in patients with early-stage cutaneous T-cell lymphoma.	BCL7A
23043359	10.1111/bjh.12080	2013	BCL7A protein expression in normal and malignant lymphoid tissues.	BCL7A
19336552	10.1158/1055-9965.EPI-08-1037	2009	Risk of non-Hodgkin lymphoma associated with germline variation in genes that regulate the cell cycle, apoptosis, and lymphocyte development.	BCL7A
19573080	10.1111/j.1365-2141.2009.07790.x	2009	Common genetic variants in candidate genes and risk of familial lymphoid malignancies.	BCL7A
19773279	10.1136/oem.2008.044024	2009	Association between genetic variants in VEGF, ERCC3 and occupational benzene haematotoxicity.	BCL7A
18663754	10.1002/gcc.20601	2008	Array-based comparative genomic hybridization in early-stage mycosis fungoides: recurrent deletion of tumor suppressor genes BCL7A, SMAC/DIABLO, and RHOF.	BCL7A
17888167	10.1186/1471-2164-8-332	2007	Unravelling the hidden heterogeneities of diffuse large B-cell lymphoma based on coupled two-way clustering.	BCL7A
19455257		2007	Germinal center B cell-like (GCB) and activated B cell-like (ABC) type of diffuse large B cell lymphoma (DLBCL): analysis of molecular predictors, signatures, cell cycle state and patient survival.	BCL7A
15897551	10.1200/JCO.2005.11.353	2005	Epigenetic profiling of cutaneous T-cell lymphoma: promoter hypermethylation of multiple tumor suppressor genes including BCL7a, PTPRG, and p73.	BCL7A
9931421	10.1016/s0378-1119(98)00514-9	1998	The BCL7 gene family: deletion of BCL7B in Williams syndrome.	BCL7A
8605326		1996	Molecular cloning of complex chromosomal translocation t(8;14;12)(q24.1;q32.3;q24.1) in a Burkitt lymphoma cell line defines a new gene (BCL7A) with homology to caldesmon.	BCL7A
