pmid	doi	year	title	Hugo_Symbol
35255429	10.1016/j.anndiagpath.2021.151886	2022	De Novo CD5-positive diffuse large B-cell lymphoma: A genomic profiling study and prognostic analysis of 46 patients.	ACTB
35765478	10.14202/vetworld.2022.1333-1340	2022	Investigation of proteomic profiles in canine lymphoma using tandem mass tag-based quantitative proteomics approach.	ACTB
33404293	10.1080/15548627.2020.1871204	2021	BNIP3L-mediated mitophagy is required for mitochondrial remodeling during the differentiation of optic nerve oligodendrocytes.	ACTB
33952317	10.1186/s13148-021-01091-9	2021	Methylated markers accurately distinguish primary central nervous system lymphomas (PCNSL) from other CNS tumors.	ACTB
34598060	10.1016/j.ctarc.2021.100465	2021	Prioritising breast cancer theranostics: A current medical longing in oncology.	ACTB
34925435	10.3389/fgene.2021.677650	2021	Genetic Landscape of Relapsed and Refractory Diffuse Large B-Cell Lymphoma: A Systemic Review and Association Analysis With Next-Generation Sequencing.	ACTB
32349449	10.3390/ijms21093093	2020	Prevalence of Cytoplasmic Actin Mutations in Diffuse Large B-Cell Lymphoma and Multiple Myeloma: A Functional Assessment Based on Actin Three-Dimensional Structures.	ACTB
32565964	10.3892/ol.2020.11552	2020	Comprehensive characterization of driver genes in diffuse large B cell lymphoma.	ACTB
29433359	10.1080/15548627.2017.1390636	2018	Piperlongumine restores the balance of autophagy and apoptosis by increasing BCL2 phosphorylation in rotenone-induced Parkinson disease models.	ACTB
27868373	10.1002/ajmg.a.38057	2017	Acute myeloid leukemia in Baraitser-Winter cerebrofrontofacial syndrome.	ACTB
28807016	10.1186/s12885-017-3536-6	2017	Endogenous controls of gene expression in N-methyl-N-nitrosourea-induced T-cell lymphoma in p53-deficient mice.	ACTB
25052316	10.1038/ejhg.2014.95	2015	Baraitser-Winter cerebrofrontofacial syndrome: delineation of the spectrum in 42 cases.	ACTB
25696013	NA	2015	Selection of superior reference genes' combination for quantitative real-time PCR in B-cell lymphomas.	ACTB
25984893	10.1080/15548627.2015.1034402	2015	The GST-BHMT assay reveals a distinct mechanism underlying proteasome inhibition-induced macroautophagy in mammalian cells.	ACTB
23266771	10.1016/j.cca.2012.12.012	2013	ACTB in cancer.	ACTB
22343534	10.1073/pnas.1121343109	2012	Discovery and prioritization of somatic mutations in diffuse large B-cell lymphoma (DLBCL) by whole-exome sequencing.	ACTB
19309015	10.1002/elps.200800508	2009	2-D PAGE-based comparison of proteasome inhibitor bortezomib in sensitive and resistant mantle cell lymphoma.	ACTB
20031021	10.1016/j.rbmo.2009.09.024	2009	Apoptosis in normal ovaries of women with and without endometriosis.	ACTB
17823310	10.1182/blood-2007-04-087775	2007	HGAL, a lymphoma prognostic biomarker, interacts with the cytoskeleton and mediates the effects of IL-6 on cell migration.	ACTB
1505215	10.1159/000133336	1992	Sublocalization of an invasion-inducing locus and other genes on human chromosome 7.	ACTB
