PMID	year	first_author	last_author	data_science_core
35437827	2022	Oishi, Naoki	Feldman, Andrew L	No
34455421	2022	Vilarrasa-Blasi, Roser	Martin-Subero, José Ignacio	No
34936696	2022	Wu, Wenchao	Weinstock, David M	No
35030036	2022	Giné, Eva	López-Guillermo, Armando	No
35794478	2022	Bal, Elodie	Dalla-Favera, Riccardo	Yes
35911770	2022	Zhang, Cheng	Li, Hu	No
35941721	2022	Feldman, Andrew L	Dasari, Surendra	No
34162177	2022	Napoli, Sara	Bertoni, Francesco	No
35586895	2022	Ahmed, Nada	Feldman, Andrew L	No
35954378	2022	Liu, Xiaoqian	Chan, Wing C John	No
34882582	2022	Yi, Shuhua	Wang, Lili	No
32732362	2021	Dong, Gehong	Chan, Wing C	No
32785655	2021	Fontan, Lorena	Melnick, Ari	No
33541860	2021	Kotlov, Nikita	Cerchietti, Leandro	No
33928032	2021	Fragliasso, Valentina	Ciarrocchi, Alessia	No
34189576	2021	Balsas, Patricia	Amador, Virginia	No
34292324	2021	Advani, Ranjana H	Federico, Massimo	No
34581268	2021	Cheng, Shuhua	Tam, Wayne	No
33504766	2021	Tameni, Annalisa	Ciarrocchi, Alessia	No
34043588	2021	Carras, Sylvain	Genestier, Laurent	No
34426436	2021	Lone, Waseem	Iqbal, Javeed	No
32327503	2021	Larose, Hugo	Turner, Suzanne D	No
33046520	2021	Demajo, Santiago	Jares, Pedro	No
33237303	2021	Razzaghi, Raud	Muppidi, Jagan R	No
34050029	2021	Fangazio, Marco	Dalla-Favera, Riccardo	No
34653242	2021	Moskowitz, Alison J	Horwitz, Steven M	No
33842927	2021	Meng-Lin, Kevin	Li, Hu	No
33861502	2021	Cacciapuoti, Maria Teresa	Inghirami, Giorgio	No
33928261	2021	Moon, Christine S	Ferrando, Adolfo A	No
33951889	2021	Ramis-Zaldivar, Joan Enric	Campo, Elias	No
34479963	2021	Calvo-Vidal, M Nieves	Cerchietti, Leandro	No
31577659	2020	Kadin, Marshall E	Di Napoli, Arianna	No
31975037	2020	Croci, Giorgio A	Klapper, Wolfram	No
32245807	2020	Phelan, James D	Staudt, Louis M	No
33002132	2020	Ghione, Paola	Horwitz, Steven	No
33392514	2020	Jiang, Aixiang	Morin, Ryan D	Yes
31610171	2020	Turner, Suzanne D	Kadin, Marshall E	No
32289277	2020	Wright, George W	Staudt, Louis M	Yes
32560455	2020	Fiore, Danilo	Inghirami, Giorgio	No
32992343	2020	Fukumoto, Kota	Chiba, Shigeru	No
33301031	2020	Oberbeck, S	Herling, M	No
32249838	2020	Fiore, Danilo	Inghirami, Giorgio	No
32584970	2020	Nadeu, Ferran	Campo, Elias	No
34079956	2020	Duran-Ferrer, Martí	Martín-Subero, José Ignacio	No
31753927	2020	Fuster, Carla	Campo, Elias	No
32636395	2020	Nadeu, Ferran	Campo, Elías	Yes
32861278	2020	Navarro, Alba	Campo, Elías	No
31915197	2020	Mondello, Patrizia	Green, Michael R	No
32105608	2020	Fox, Christopher P	Kim, Won Seog	No
33371292	2020	Deva, Anand K	Adams Jr, William P	No
30523716	2019	Ennishi, Daisuke	Scott, David W	Yes
30782609	2019	Heavican, Tayla B	Iqbal, Javeed	No
31562134	2019	Amador, Catalina	Iqbal, Javeed	No
12368154	2002	Giugliano, Emilia	Hagemeijer, Anne	No
